1067N_2,Rautatientori
1067V_1,Torpparinmäki
1067V_2,Rautatientori
1067_1,Torpparinmäki
1067_2,Rautatientori
1068_1,Latokartano
1068_2,Rautatientori
1069_1,Malmi
1069_2,Kamppi
1070T_1,Suutarila
1070T_2,Kamppi
1070_1,Suutarila
1070_2,Rautatientori
1071V_1,Pukinmäki
1071V_2,Rautatientori
1071_1,Pihlajamäki
1071_1,Pukinmäki
1071_2,Rautatientori
1072N_1,Siltamäki
1072N_2,Rautatientori
1072_1,Tapanila
1072_2,Rautatientori
1073N_1,Ala-Tikkurila
1073N_2,Rautatientori
1073_1,Ala-Tikkurila
1073_2,Hakaniemi
1074N_1,Puistola
1074N_2,Rautatientori
1074_1,Porttipuisto
1074_2,Hakaniemi
1075A_1,Jakomäki
1075A_2,Siltamäki
1075_1,Puistolan asema
1075_2,Rautatientori
1076A_1,Malmi
1076A_2,Puistola
1076B_1,Malmi
1076B_2,Puistola
1076N_1,Tattarisuo
1076N_2,Rautatientori
1077A_1,Siltamäki
1077A_2,Jakomäki
1077_1,Jakomäki
1077_2,Rautatientori
1079_1,Malmi
1079_2,Herttoniemi(M)
1080_1,Roihupelto
1080_2,Herttoniemi(M)
1081 3_1,Kulosaari
1081_1,Länsi-Herttoniemi
1081_2,Kulosaari
1082B_1,Itäkeskus(M)
1082B_2,Herttoniemi(M)
1082_1,Itäkeskus(M)
1082_2,Herttoniemi(M)
1083_1,Tammisalo
1083_2,Herttoniemi(M)
1084_1,Gunillankallio
1084_2,Herttoniemi(M)
1085 1_2,Herttoniemi(M)
1085B_1,Jollas
1085B_2,Herttoniemi(M)
1085N_1,Jollas
1085N_2,Rautatientori
1085_1,Jollas
1085_2,Herttoniemi(M)
1086B_1,Santahamina
1086B_2,Herttoniemi(M)
1086N_1,Santahamina
1086N_2,Rautatientori
1086_1,Santahamina
1086_2,Herttoniemi(M)
1088_1,Kaitalahti
1088_2,Herttoniemi(M)
1089_1,Yliskylä
1089_2,Herttoniemi(M)
1090A_1,Vuosaaren satama
1090A_2,Rautatientori
1090N_1,Vuosaari
1090N_2,Rautatientori
1090_1,Vuosaaren satama
1090_2,Vuosaari(M)
1091K_1,Puroniitty
1091K_2,Rapuojantie
1091_1,Puroniitty
1091_2,Rapuojantie
1092N_1,Kontula (Keinutie)
1092N_2,Rautatientori
1092_1,Myllypuro
1092_2,Itäkeskus(M)
1093 3_2,Landbo
1093K_1,Landbo
1093K_2,Itäkeskus(M)
1093_1,Landbo
1093_2,Itäkeskus(M)
1094A_1,Kontula(M)
1094A_2,Kotikonnuntie
1094B_1,Kontula(M)
1094B_2,Kivikonlaita
1094N_1,Kontulankaari
1094N_2,Rautatientori
1094_1,Kontulankaari
1094_2,Itäkeskus(M)
1095N_1,Mellunmäki
1095N_2,Rautatientori
1095_1,Keinutie
1095_2,Itäkeskus(M)
1096N_1,Vuosaari
1096N_2,Rautatientori
1096_1,Porslahdentie
1096_2,Vuosaari(M)
1097N_1,Kotikonnuntie
1097N_2,Rautatientori
1097V_1,Mellunmäki(M)
1097V_2,Itäkeskus(M)
1097_1,Mellunmäki(M)
1097_2,Itäkeskus(M)
1098_1,Rastila(M)
1098_2,Itäkeskus(M)
1300 5_1,Itäkeskus
1300 5_2,Tapiola
1300M3_1,Mellunmäki
1300M3_2,Itäkeskus
1300M5_1,Mellunmäki
1300M5_2,Matinkylä
1300M_1,Mellunmäki
1300M_2,Tapiola
1300V3_1,Vuosaari
1300V3_2,Itäkeskus
1300V5_1,Vuosaari
1300V5_2,Tapiola
1300V_1,Vuosaari
1300V_2,Matinkylä
1300_1,Itäkeskus
1300_2,Matinkylä
1500_1,Munkkivuori
1500_2,Herttoniemi(M)
1506_1,Meilahti
1506_2,Viikki
1603_1,Paloheinä
1603_2,Malmi
1607_1,Vantaanportti
1607_2,Suursuo
1701_1,Viikki
1701_2,Malmi
1702_1,Savela
1702_2,Malmi
1703_1,Suutarila
1703_2,Malmi
1705_1,Jakomäki
1705_2,Malmi
1801_1,Varjakanvalkama
1801_2,Itäkeskus
1802K_1,Jollas
1802K_2,Itäkeskus(M)
1802_1,Jollas
1802_2,Itäkeskus(M)
1805_1,Myllypuro
1805_2,Itäkeskus(M)
1811B_1,Mellunmäki (M)
1811B_2,Kivikko
1811K_1,Rajakylä
1811K_2,Mellunmäki (M)
1811_1,Rajakylä
1811_2,Kivikko
1812_1,Myllypuro
1812_2,Mellunmäki
